id,creationDate,negotiable,description,agencyFee,title
1,17/02/2023,false,artificial intelligence,40,Pre-emptive
2,06/04/2022,false,Cross-platform,82,migration
3,08/09/2022,true,archive,16,function
4,22/07/2022,false,Right-sized,79,utilisation
5,04/10/2022,true,Assimilated,53,3rd generation
6,28/11/2022,true,success,43,client-server
7,24/11/2022,true,impactful,54,analyzer
8,16/03/2022,true,focus group,24,Object-based
9,21/07/2022,false,moderator,12,archive
10,26/08/2022,true,functionalities,69,Streamlined
11,16/04/2022,false,Visionary,54,initiative
12,05/05/2022,false,Ameliorated,71,Realigned
13,23/01/2023,false,leading edge,21,multimedia
14,14/01/2023,true,matrix,59,Programmable
15,02/05/2022,true,Polarised,75,Intuitive
16,11/09/2022,false,implementation,75,leading edge
17,15/12/2022,true,Synergized,7,regional
18,15/03/2022,false,artificial intelligence,97,holistic
19,13/01/2023,true,non-volatile,26,model
20,18/08/2022,false,knowledge user,35,info-mediaries
21,23/07/2022,true,global,40,system engine
22,17/12/2022,true,Grass-roots,66,Mandatory
23,03/04/2022,false,Synchronised,58,Customizable
24,24/06/2022,true,logistical,22,static
25,13/09/2022,false,Open-source,38,utilisation
26,19/11/2022,false,initiative,8,Realigned
27,26/03/2022,false,Triple-buffered,39,data-warehouse
28,11/05/2022,true,dynamic,30,model
29,10/01/2023,true,Devolved,65,6th generation
30,03/05/2022,true,application,50,intermediate
31,03/01/2023,true,web-enabled,20,Fundamental
32,27/12/2022,true,Optional,64,Graphical User Interface
33,05/03/2022,true,installation,82,installation
34,19/05/2022,true,firmware,51,Pre-emptive
35,23/10/2022,true,De-engineered,64,Self-enabling
36,07/01/2023,true,matrices,69,Down-sized
37,25/12/2022,false,Multi-lateral,24,grid-enabled
38,19/12/2022,false,upward-trending,25,hybrid
39,20/12/2022,false,Visionary,11,Object-based
40,02/11/2022,false,methodical,7,fault-tolerant
41,30/01/2023,false,Open-source,87,radical
42,09/08/2022,false,Multi-lateral,63,matrix
43,04/04/2022,false,Reactive,16,application
44,22/04/2022,true,Inverse,63,local
45,21/01/2023,false,Future-proofed,75,discrete
46,02/02/2023,true,Organized,23,Right-sized
47,06/02/2023,true,Expanded,61,knowledge base
48,18/07/2022,false,process improvement,13,contextually-based
49,18/05/2022,true,Universal,65,Reverse-engineered
50,03/12/2022,false,local area network,80,modular
51,14/06/2022,false,Down-sized,22,Organized
52,14/04/2022,false,Visionary,82,Centralized
53,15/05/2022,false,clear-thinking,85,task-force
54,28/09/2022,true,Cross-group,39,homogeneous
55,21/04/2022,false,alliance,72,Balanced
56,10/04/2022,true,solution,58,Extended
57,21/08/2022,false,homogeneous,20,full-range
58,20/05/2022,true,incremental,99,Reduced
59,14/05/2022,false,hub,42,User-friendly
60,09/02/2023,false,national,44,Networked
61,24/06/2022,true,national,56,Virtual
62,17/05/2022,true,incremental,54,human-resource
63,26/04/2022,true,Enterprise-wide,47,Open-architected
64,02/06/2022,false,Front-line,34,Profit-focused
65,08/04/2022,false,protocol,15,didactic
66,03/01/2023,false,contextually-based,41,foreground
67,22/10/2022,false,scalable,14,migration
68,08/09/2022,false,mission-critical,78,multi-tasking
69,06/07/2022,true,scalable,38,Balanced
70,18/01/2023,false,foreground,69,Profound
71,29/12/2022,true,Secured,32,Decentralized
72,23/08/2022,false,Advanced,26,Multi-lateral
73,11/09/2022,true,even-keeled,48,actuating
74,22/08/2022,true,Exclusive,18,content-based
75,10/08/2022,true,tangible,99,process improvement
76,09/06/2022,false,Networked,6,project
77,01/02/2023,true,maximized,61,executive
78,31/07/2022,false,systematic,20,high-level
79,02/06/2022,true,Phased,15,Multi-lateral
80,05/10/2022,true,Advanced,3,uniform
81,28/12/2022,false,Vision-oriented,86,Configurable
82,01/09/2022,false,Seamless,8,Managed
83,23/12/2022,true,collaboration,78,productivity
84,14/08/2022,true,alliance,83,Enhanced
85,19/09/2022,true,Function-based,96,Up-sized
86,14/11/2022,true,Organized,13,Exclusive
87,31/08/2022,false,service-desk,95,Decentralized
88,07/08/2022,false,Mandatory,86,Open-architected
89,29/09/2022,false,Optional,82,functionalities
90,09/08/2022,true,fresh-thinking,90,ability
91,16/05/2022,true,Distributed,90,conglomeration
92,22/02/2022,true,mobile,57,content-based
93,12/11/2022,true,analyzing,62,knowledge user
94,17/03/2022,false,initiative,42,software
95,20/08/2022,true,Multi-channelled,30,help-desk
96,10/06/2022,false,Balanced,83,coherent
97,10/02/2023,false,Innovative,33,algorithm
98,29/03/2022,true,Switchable,43,Ameliorated
99,04/09/2022,true,multi-state,79,Mandatory
100,07/12/2022,true,5th generation,44,standardization
101,02/03/2022,true,dedicated,19,Persistent
102,25/07/2022,false,exuding,16,process improvement
103,03/06/2022,false,Graphical User Interface,70,transitional
104,06/08/2022,true,Front-line,61,radical
105,12/01/2023,true,Switchable,23,analyzing
106,21/04/2022,true,executive,88,policy
107,16/12/2022,false,focus group,55,tangible
108,10/07/2022,false,frame,11,needs-based
109,02/02/2023,false,zero defect,2,Function-based
110,06/06/2022,false,Horizontal,81,local area network
111,08/01/2023,false,benchmark,5,benchmark
112,13/07/2022,true,archive,23,holistic
113,06/04/2022,false,incremental,38,superstructure
114,15/07/2022,true,Assimilated,49,frame
115,24/08/2022,false,database,33,logistical
116,17/05/2022,true,Cross-platform,28,project
117,01/11/2022,true,multi-tasking,55,moratorium
118,24/07/2022,false,protocol,64,reciprocal
119,21/08/2022,false,Cross-platform,59,tertiary
120,15/05/2022,true,Reverse-engineered,2,logistical
121,24/01/2023,false,Adaptive,17,Front-line
122,13/08/2022,false,knowledge user,42,Multi-lateral
123,21/06/2022,false,conglomeration,84,analyzing
124,14/02/2023,false,multi-tasking,7,Compatible
125,25/06/2022,false,support,55,hardware
126,07/09/2022,false,structure,36,motivating
127,02/06/2022,true,uniform,8,Graphical User Interface
128,06/10/2022,false,emulation,100,Reduced
129,08/12/2022,false,Organic,32,4th generation
130,23/07/2022,true,product,6,asymmetric
131,25/09/2022,false,knowledge user,6,infrastructure
132,03/04/2022,true,hub,73,Phased
133,26/10/2022,false,system engine,20,structure
134,11/04/2022,false,Extended,53,context-sensitive
135,25/03/2022,true,artificial intelligence,69,next generation
136,21/03/2022,false,success,1,tertiary
137,08/05/2022,false,secured line,3,collaboration
138,20/07/2022,false,cohesive,86,modular
139,30/11/2022,true,Public-key,82,User-friendly
140,18/02/2023,false,hub,44,Phased
141,12/03/2022,false,zero defect,18,function
142,01/07/2022,true,orchestration,91,throughput
143,02/07/2022,false,alliance,51,utilisation
144,12/03/2022,true,success,60,Inverse
145,12/12/2022,false,hybrid,31,alliance
146,03/02/2023,true,attitude-oriented,2,contingency
147,09/03/2022,false,Managed,17,leading edge
148,21/06/2022,false,groupware,17,matrices
149,12/04/2022,false,Face to face,54,firmware
150,12/05/2022,true,De-engineered,89,toolset
151,30/11/2022,true,installation,44,frame
152,22/02/2022,true,emulation,76,moderator
153,17/05/2022,false,Innovative,89,ability
154,17/01/2023,true,website,89,adapter
155,27/03/2022,true,project,94,matrix
156,13/12/2022,true,methodical,61,multi-tasking
157,05/09/2022,false,Synergized,45,customer loyalty
158,25/04/2022,true,multimedia,36,synergy
159,27/10/2022,true,Persevering,61,Adaptive
160,03/01/2023,false,Re-contextualized,2,homogeneous
161,10/06/2022,true,software,2,Innovative
162,11/10/2022,true,productivity,41,throughput
163,15/04/2022,true,capacity,69,multi-state
164,07/11/2022,false,Customer-focused,31,Fully-configurable
165,13/05/2022,false,Right-sized,47,concept
166,15/07/2022,false,3rd generation,8,Programmable
167,02/09/2022,false,Extended,59,local area network
168,12/11/2022,false,Managed,100,success
169,18/03/2022,true,implementation,14,scalable
170,04/11/2022,false,process improvement,27,Sharable
171,18/06/2022,true,foreground,29,help-desk
172,26/05/2022,false,discrete,74,structure
173,30/05/2022,true,Quality-focused,76,ability
174,21/12/2022,true,model,62,Multi-layered
175,06/03/2022,false,open system,77,Expanded
176,07/01/2023,false,functionalities,56,parallelism
177,09/03/2022,false,modular,93,Public-key
178,31/03/2022,true,Reactive,99,Versatile
179,07/06/2022,false,Focused,82,bifurcated
180,16/05/2022,true,scalable,91,solution
181,03/02/2023,true,success,59,background
182,01/03/2022,false,groupware,23,transitional
183,31/01/2023,false,project,71,Synergistic
184,26/08/2022,true,Object-based,29,Inverse
185,04/05/2022,true,24/7,16,task-force
186,02/10/2022,false,moratorium,90,secured line
187,06/09/2022,true,asynchronous,13,contextually-based
188,11/09/2022,true,emulation,37,non-volatile
189,23/07/2022,true,strategy,41,data-warehouse
190,12/11/2022,true,service-desk,6,algorithm
191,24/07/2022,true,incremental,58,support
192,01/11/2022,true,static,18,time-frame
193,10/01/2023,false,explicit,35,policy
194,24/11/2022,true,coherent,31,Integrated
195,20/11/2022,false,systemic,20,throughput
196,26/12/2022,true,local area network,70,Multi-channelled
197,04/07/2022,true,Organized,31,application
198,10/10/2022,true,impactful,47,Horizontal
199,21/01/2023,true,tangible,34,Streamlined
200,22/10/2022,true,disintermediate,78,extranet
201,24/04/2022,false,application,63,zero tolerance
202,26/05/2022,true,internet solution,60,local
203,24/10/2022,false,Self-enabling,24,Multi-lateral
204,20/06/2022,false,encompassing,1,access
205,15/11/2022,true,Organic,71,paradigm
206,16/08/2022,false,array,42,Customizable
207,20/02/2022,true,Intuitive,20,Ergonomic
208,23/02/2022,true,analyzer,46,tangible
209,06/04/2022,false,Team-oriented,84,Universal
210,01/01/2023,true,contextually-based,82,heuristic
211,03/05/2022,true,Exclusive,59,installation
212,31/07/2022,false,mission-critical,86,solution-oriented
213,17/02/2023,false,dedicated,1,Graphical User Interface
214,30/12/2022,true,neural-net,64,leverage
215,08/02/2023,true,attitude,82,installation
216,14/07/2022,true,challenge,97,Open-source
217,21/05/2022,false,coherent,83,Grass-roots
218,07/02/2023,false,responsive,61,protocol
219,15/03/2022,true,reciprocal,87,methodical
220,01/09/2022,false,capability,86,Programmable
221,01/10/2022,false,contingency,52,Operative
222,12/11/2022,true,Multi-channelled,18,contextually-based
223,13/10/2022,true,Down-sized,91,modular
224,10/03/2022,false,productivity,45,hierarchy
225,04/08/2022,false,methodical,92,high-level
226,16/10/2022,false,Open-architected,66,Integrated
227,04/08/2022,false,24/7,72,standardization
228,04/02/2023,true,zero defect,62,policy
229,22/05/2022,false,grid-enabled,43,client-driven
230,02/08/2022,true,user-facing,24,systemic
231,31/01/2023,false,Future-proofed,3,Versatile
232,11/03/2022,true,asymmetric,34,Front-line
233,18/04/2022,false,Universal,72,Multi-lateral
234,18/08/2022,false,tertiary,6,concept
235,04/09/2022,false,modular,35,Managed
236,15/12/2022,true,challenge,79,Innovative
237,08/06/2022,true,interface,10,flexibility
238,10/02/2023,true,Managed,59,process improvement
239,01/04/2022,true,success,43,array
240,15/08/2022,false,Progressive,1,analyzer
241,06/08/2022,false,transitional,85,discrete
242,25/11/2022,true,disintermediate,34,data-warehouse
243,18/08/2022,true,archive,30,24/7
244,15/01/2023,true,Team-oriented,43,attitude
245,31/05/2022,false,encoding,33,Distributed
246,29/07/2022,false,transitional,6,human-resource
247,22/06/2022,false,product,87,challenge
248,19/07/2022,true,local area network,24,Networked
249,30/04/2022,false,grid-enabled,82,scalable
250,28/07/2022,true,interface,11,object-oriented
251,31/05/2022,true,frame,67,needs-based
252,06/05/2022,true,reciprocal,64,projection
253,03/06/2022,true,Programmable,7,function
254,25/10/2022,false,Quality-focused,58,ability
255,06/07/2022,false,Ergonomic,1,Intuitive
256,08/12/2022,false,secured line,76,collaboration
257,15/12/2022,true,Triple-buffered,53,interface
258,20/09/2022,true,website,34,dynamic
259,14/06/2022,false,leading edge,88,flexibility
260,04/02/2023,true,incremental,24,Public-key
261,21/04/2022,true,Enterprise-wide,25,project
262,28/10/2022,true,secondary,94,value-added
263,14/12/2022,true,capacity,75,neutral
264,24/02/2022,true,24/7,39,Universal
265,18/03/2022,false,Multi-tiered,9,client-server
266,06/10/2022,true,leading edge,7,Total
267,09/12/2022,true,clear-thinking,15,circuit
268,20/10/2022,false,frame,86,real-time
269,10/04/2022,false,Front-line,31,instruction set
270,12/07/2022,true,mobile,79,Enterprise-wide
271,17/11/2022,false,Compatible,3,context-sensitive
272,18/11/2022,true,Switchable,57,Re-contextualized
273,21/03/2022,true,De-engineered,95,knowledge user
274,11/06/2022,false,approach,84,Innovative
275,23/06/2022,false,encryption,49,support
276,22/02/2022,false,Operative,18,Enterprise-wide
277,01/10/2022,true,solution,27,asynchronous
278,28/03/2022,true,analyzer,36,Progressive
279,13/11/2022,true,solution-oriented,15,Optimized
280,13/10/2022,false,Grass-roots,96,well-modulated
281,18/05/2022,false,Exclusive,20,Focused
282,26/11/2022,false,contextually-based,51,forecast
283,19/08/2022,false,Ergonomic,84,Compatible
284,28/03/2022,true,clear-thinking,27,Universal
285,27/04/2022,true,Enterprise-wide,58,parallelism
286,02/08/2022,false,Open-architected,21,paradigm
287,30/12/2022,true,multi-state,66,Fundamental
288,02/04/2022,false,actuating,77,attitude-oriented
289,05/12/2022,false,high-level,13,Face to face
290,05/01/2023,false,Function-based,43,zero tolerance
291,29/12/2022,true,collaboration,43,process improvement
292,05/11/2022,true,model,48,contextually-based
293,18/08/2022,false,knowledge user,39,Realigned
294,16/03/2022,true,capacity,99,Triple-buffered
295,27/09/2022,true,real-time,37,national
296,12/11/2022,true,next generation,15,Up-sized
297,19/06/2022,false,Fundamental,32,Front-line
298,12/02/2023,true,foreground,28,Advanced
299,02/10/2022,false,Graphical User Interface,93,moderator
300,31/12/2022,false,throughput,2,grid-enabled
301,31/03/2022,false,Right-sized,21,Secured
302,10/07/2022,false,Open-architected,31,maximized
303,06/05/2022,false,challenge,24,demand-driven
304,21/05/2022,false,Right-sized,96,portal
305,23/07/2022,true,toolset,28,Assimilated
306,01/05/2022,false,Stand-alone,55,modular
307,25/10/2022,false,Up-sized,67,Versatile
308,10/11/2022,false,Operative,24,hybrid
309,30/11/2022,false,interactive,91,Open-architected
310,09/07/2022,false,attitude-oriented,99,Configurable
311,15/02/2023,false,Open-architected,38,secured line
312,17/12/2022,false,superstructure,79,Up-sized
313,02/10/2022,true,incremental,4,encoding
314,06/09/2022,false,project,47,Versatile
315,28/02/2022,true,Persevering,5,task-force
316,11/03/2022,false,optimizing,21,Front-line
317,14/03/2022,true,upward-trending,77,Synergistic
318,29/07/2022,true,challenge,79,artificial intelligence
319,12/07/2022,true,upward-trending,74,local
320,16/02/2023,false,secondary,41,encompassing
321,18/01/2023,false,workforce,16,throughput
322,12/06/2022,true,Decentralized,50,Innovative
323,16/01/2023,false,Re-engineered,24,knowledge user
324,14/01/2023,true,Self-enabling,80,capacity
325,15/03/2022,true,system-worthy,49,adapter
326,26/09/2022,false,24/7,77,extranet
327,12/03/2022,true,attitude,63,approach
328,09/11/2022,false,productivity,56,regional
329,29/10/2022,false,systemic,84,orchestration
330,23/11/2022,false,Compatible,99,tangible
331,27/09/2022,false,architecture,51,mission-critical
332,20/01/2023,false,regional,97,Front-line
333,02/05/2022,false,analyzing,64,moderator
334,27/09/2022,true,methodology,43,Devolved
335,07/06/2022,true,fault-tolerant,39,Decentralized
336,16/11/2022,false,analyzer,60,process improvement
337,10/03/2022,true,open system,22,motivating
338,14/06/2022,false,exuding,89,paradigm
339,20/12/2022,false,Fully-configurable,59,policy
340,27/08/2022,true,executive,83,model
341,27/08/2022,true,forecast,43,artificial intelligence
342,29/01/2023,true,Team-oriented,12,Customer-focused
343,04/02/2023,false,software,67,scalable
344,14/06/2022,false,Digitized,96,Grass-roots
345,15/11/2022,false,Cross-group,61,dynamic
346,06/02/2023,false,Implemented,55,analyzer
347,25/06/2022,true,matrix,88,client-driven
348,30/11/2022,true,Function-based,59,holistic
349,16/03/2022,true,motivating,81,frame
350,18/09/2022,true,upward-trending,41,array
351,29/03/2022,false,flexibility,89,high-level
352,10/04/2022,false,Inverse,9,Horizontal
353,05/04/2022,false,discrete,69,hybrid
354,29/07/2022,false,Automated,82,encompassing
355,19/04/2022,true,moratorium,94,24/7
356,24/09/2022,true,focus group,1,collaboration
357,04/11/2022,true,fresh-thinking,97,didactic
358,08/12/2022,true,Versatile,2,superstructure
359,12/11/2022,false,Function-based,48,needs-based
360,30/06/2022,true,alliance,92,Open-source
361,13/07/2022,false,Visionary,68,Stand-alone
362,27/04/2022,true,content-based,94,24 hour
363,25/01/2023,true,Customizable,4,open system
364,30/08/2022,false,client-driven,59,knowledge base
365,03/07/2022,false,Multi-channelled,96,encompassing
366,30/12/2022,false,foreground,1,Mandatory
367,28/08/2022,false,foreground,37,web-enabled
368,02/04/2022,false,synergy,75,local area network
369,06/11/2022,true,Triple-buffered,45,impactful
370,11/08/2022,true,Enterprise-wide,69,parallelism
371,06/02/2023,false,reciprocal,16,Centralized
372,14/03/2022,true,web-enabled,60,Re-engineered
373,16/12/2022,false,paradigm,68,leverage
374,16/04/2022,false,Intuitive,56,Secured
375,09/01/2023,true,Exclusive,64,contextually-based
376,28/10/2022,true,internet solution,13,solution
377,04/12/2022,false,disintermediate,1,array
378,19/08/2022,false,parallelism,17,Customizable
379,06/04/2022,true,attitude-oriented,65,benchmark
380,03/05/2022,true,24/7,88,full-range
381,23/08/2022,false,Extended,60,bottom-line
382,19/11/2022,false,didactic,37,synergy
383,07/09/2022,false,Persistent,63,Secured
384,15/04/2022,false,Automated,86,adapter
385,04/06/2022,true,Balanced,3,next generation
386,10/10/2022,false,Business-focused,85,moratorium
387,24/02/2022,false,help-desk,92,needs-based
388,24/03/2022,true,Mandatory,63,composite
389,18/05/2022,true,Automated,60,Object-based
390,17/12/2022,true,heuristic,99,web-enabled
391,17/11/2022,false,bi-directional,100,array
392,20/08/2022,false,orchestration,47,hardware
393,12/04/2022,true,intranet,34,Streamlined
394,26/12/2022,false,eco-centric,100,radical
395,02/10/2022,true,Extended,27,Proactive
396,03/10/2022,true,composite,66,Intuitive
397,30/07/2022,false,upward-trending,22,strategy
398,21/08/2022,true,empowering,13,Vision-oriented
399,30/07/2022,true,middleware,1,Monitored
400,23/06/2022,false,data-warehouse,41,instruction set
401,28/02/2022,true,encompassing,11,Stand-alone
402,10/05/2022,true,Focused,82,stable
403,17/10/2022,true,zero tolerance,14,Ameliorated
404,01/07/2022,false,foreground,45,actuating
405,30/05/2022,true,workforce,43,dynamic
406,20/01/2023,true,bandwidth-monitored,91,throughput
407,29/12/2022,true,middleware,93,Face to face
408,14/10/2022,false,Virtual,16,Fully-configurable
409,09/05/2022,true,access,5,heuristic
410,22/04/2022,true,policy,58,4th generation
411,27/06/2022,true,systemic,81,Proactive
412,11/08/2022,true,algorithm,87,4th generation
413,12/12/2022,false,asynchronous,71,exuding
414,13/02/2023,true,Persevering,46,Streamlined
415,07/02/2023,false,complexity,53,project
416,12/03/2022,false,Multi-layered,13,executive
417,28/08/2022,true,Configurable,84,website
418,29/10/2022,false,scalable,56,Vision-oriented
419,22/10/2022,true,exuding,71,Reverse-engineered
420,21/08/2022,false,Profound,44,Multi-channelled
421,08/03/2022,false,reciprocal,7,knowledge base
422,12/06/2022,true,Persevering,2,extranet
423,29/03/2022,true,Implemented,30,extranet
424,30/04/2022,false,Future-proofed,98,encoding
425,08/11/2022,true,motivating,34,responsive
426,24/02/2022,true,Customer-focused,16,budgetary management
427,27/03/2022,true,Multi-tiered,26,Automated
428,14/01/2023,true,help-desk,83,impactful
429,03/12/2022,false,Centralized,13,user-facing
430,06/01/2023,false,Persistent,14,Future-proofed
431,26/02/2022,true,data-warehouse,18,logistical
432,30/06/2022,true,groupware,36,intangible
433,14/02/2023,true,utilisation,24,access
434,20/07/2022,true,Inverse,26,homogeneous
435,07/04/2022,false,Triple-buffered,85,didactic
436,25/05/2022,false,homogeneous,33,Business-focused
437,19/10/2022,true,architecture,92,Managed
438,04/10/2022,true,Re-contextualized,87,regional
439,20/08/2022,false,even-keeled,61,capability
440,08/09/2022,true,Up-sized,35,contingency
441,01/08/2022,false,homogeneous,37,Configurable
442,18/02/2023,false,mobile,77,project
443,18/10/2022,false,artificial intelligence,26,Extended
444,08/06/2022,true,framework,71,help-desk
445,20/10/2022,true,Reactive,61,grid-enabled
446,11/04/2022,false,encompassing,77,product
447,04/07/2022,false,reciprocal,88,uniform
448,03/02/2023,true,Programmable,10,website
449,30/05/2022,true,solution-oriented,96,User-friendly
450,29/04/2022,false,local area network,49,model
451,20/06/2022,true,system-worthy,36,human-resource
452,31/12/2022,true,Optimized,24,portal
453,29/07/2022,true,Implemented,54,bifurcated
454,28/04/2022,false,functionalities,60,object-oriented
455,28/03/2022,true,challenge,44,scalable
456,23/02/2022,false,moratorium,98,encoding
457,27/01/2023,true,client-driven,25,transitional
458,27/06/2022,true,benchmark,99,intranet
459,25/11/2022,true,Universal,75,actuating
460,22/05/2022,true,asymmetric,21,5th generation
461,23/06/2022,true,interactive,66,secured line
462,12/04/2022,true,Vision-oriented,59,Profound
463,17/01/2023,false,Implemented,62,Synergized
464,17/05/2022,false,help-desk,78,Organic
465,20/09/2022,false,logistical,61,intangible
466,07/01/2023,false,solution,40,customer loyalty
467,11/05/2022,false,web-enabled,79,paradigm
468,30/05/2022,false,Monitored,40,contingency
469,04/07/2022,true,stable,28,Enhanced
470,06/10/2022,false,superstructure,86,Secured
471,22/10/2022,false,approach,95,Advanced
472,18/06/2022,false,knowledge base,75,Digitized
473,25/04/2022,false,Virtual,84,model
474,25/08/2022,false,product,24,bi-directional
475,14/11/2022,false,Optimized,45,Enhanced
476,07/04/2022,true,Reduced,27,reciprocal
477,08/02/2023,true,Networked,49,background
478,09/03/2022,true,toolset,96,5th generation
479,02/11/2022,true,Reactive,72,Centralized
480,14/06/2022,true,Graphic Interface,63,Universal
481,08/02/2023,false,methodical,51,Organized
482,24/02/2022,true,user-facing,21,utilisation
483,29/12/2022,true,Configurable,85,middleware
484,06/08/2022,true,architecture,20,pricing structure
485,07/04/2022,true,Public-key,1,info-mediaries
486,17/03/2022,true,responsive,94,Customer-focused
487,19/01/2023,false,multimedia,31,budgetary management
488,27/10/2022,true,functionalities,80,Cross-platform
489,13/03/2022,false,website,88,well-modulated
490,20/08/2022,false,Innovative,6,optimizing
491,08/07/2022,true,circuit,67,Intuitive
492,05/11/2022,false,protocol,75,Implemented
493,11/11/2022,true,optimizing,31,context-sensitive
494,07/07/2022,false,definition,4,static
495,26/06/2022,true,radical,24,time-frame
496,16/10/2022,true,task-force,20,hardware
497,14/10/2022,true,Virtual,89,hardware
498,18/06/2022,true,Phased,46,help-desk
499,09/06/2022,false,Organic,98,national
500,18/09/2022,false,regional,17,toolset
