id,creationDate,negotiable,description,agencyFee,title
1,29/01/2023,false,local,89,non-volatile
2,15/01/2023,true,Decentralized,5,interactive
3,16/11/2022,true,system engine,59,demand-driven
4,12/05/2022,true,firmware,25,orchestration
5,04/06/2022,true,conglomeration,1,explicit
6,20/02/2022,true,actuating,9,motivating
7,16/03/2022,true,5th generation,59,circuit
8,27/11/2022,true,non-volatile,39,Organic
9,26/05/2022,true,Synergized,4,utilisation
10,30/08/2022,false,Synergized,41,projection
11,17/10/2022,false,Ameliorated,87,Automated
12,09/06/2022,false,optimal,98,bottom-line
13,15/04/2022,true,middleware,58,toolset
14,06/05/2022,true,24 hour,20,internet solution
15,29/08/2022,true,Visionary,24,Re-contextualized
16,29/03/2022,true,Down-sized,23,Advanced
17,19/05/2022,true,concept,16,multi-tasking
18,13/09/2022,true,context-sensitive,74,real-time
19,12/04/2022,false,moratorium,9,24 hour
20,23/01/2023,true,matrices,93,user-facing
21,03/12/2022,false,paradigm,42,client-driven
22,24/05/2022,false,even-keeled,5,object-oriented
23,20/05/2022,true,archive,18,Re-engineered
24,26/07/2022,true,Multi-channelled,26,Optimized
25,05/09/2022,false,clear-thinking,7,Configurable
26,25/07/2022,false,productivity,94,toolset
27,02/02/2023,true,encompassing,30,even-keeled
28,28/05/2022,true,holistic,63,data-warehouse
29,27/12/2022,true,Monitored,13,hybrid
30,21/04/2022,false,moratorium,37,Multi-layered
31,26/03/2022,true,Focused,64,Profit-focused
32,02/02/2023,false,User-centric,49,projection
33,19/01/2023,false,concept,57,Re-engineered
34,21/06/2022,false,bandwidth-monitored,11,Enterprise-wide
35,17/04/2022,true,transitional,97,holistic
36,06/04/2022,false,local area network,34,logistical
37,23/03/2022,true,model,8,Innovative
38,10/01/2023,false,Extended,67,Digitized
39,28/10/2022,true,Decentralized,95,Graphic Interface
40,13/06/2022,false,fresh-thinking,37,Persevering
41,09/11/2022,true,knowledge user,37,interactive
42,11/05/2022,true,Open-source,94,Fundamental
43,26/11/2022,false,Open-source,70,matrices
44,25/08/2022,false,Vision-oriented,80,Progressive
45,11/09/2022,true,Organized,72,Inverse
46,29/05/2022,false,Graphical User Interface,97,human-resource
47,14/05/2022,false,Profit-focused,16,incremental
48,24/11/2022,false,website,23,success
49,23/12/2022,false,service-desk,5,Open-architected
50,12/05/2022,false,help-desk,12,global
51,07/07/2022,true,product,49,6th generation
52,04/06/2022,true,portal,2,Advanced
53,08/04/2022,true,synergy,100,parallelism
54,09/08/2022,false,info-mediaries,13,groupware
55,19/09/2022,true,Inverse,79,migration
56,25/04/2022,true,focus group,17,background
57,05/06/2022,true,eco-centric,50,matrices
58,02/10/2022,true,neural-net,74,groupware
59,06/01/2023,true,Stand-alone,68,website
60,31/08/2022,true,Virtual,20,hub
61,22/09/2022,false,support,1,framework
62,10/12/2022,true,database,52,matrices
63,02/08/2022,true,Extended,72,portal
64,01/01/2023,false,algorithm,99,Customizable
65,27/10/2022,false,Balanced,37,algorithm
66,20/09/2022,true,data-warehouse,50,matrix
67,30/09/2022,false,eco-centric,88,moderator
68,21/09/2022,true,Robust,4,high-level
69,14/12/2022,false,forecast,31,synergy
70,25/10/2022,true,neutral,96,interface
71,06/06/2022,true,coherent,63,synergy
72,08/06/2022,false,Profound,37,24/7
73,25/09/2022,true,bottom-line,3,Programmable
74,28/08/2022,false,website,90,motivating
75,19/01/2023,true,analyzing,70,Diverse
76,26/12/2022,true,context-sensitive,82,system engine
77,03/01/2023,true,methodical,67,systematic
78,26/09/2022,false,Self-enabling,1,bi-directional
79,29/05/2022,true,Assimilated,38,interface
80,09/01/2023,true,local,77,algorithm
81,13/10/2022,true,definition,71,scalable
82,21/04/2022,true,Polarised,81,secondary
83,05/03/2022,false,Configurable,75,heuristic
84,13/04/2022,false,discrete,75,encoding
85,01/10/2022,true,local area network,33,Polarised
86,13/12/2022,true,zero defect,6,regional
87,13/12/2022,true,uniform,20,Business-focused
88,19/11/2022,true,Optional,58,Cross-platform
89,15/11/2022,false,process improvement,98,methodical
90,17/04/2022,false,software,84,impactful
91,15/11/2022,false,software,51,Synergistic
92,05/09/2022,false,website,33,definition
93,05/09/2022,true,bi-directional,42,Function-based
94,16/02/2023,false,impactful,80,24/7
95,26/05/2022,false,interface,37,well-modulated
96,27/09/2022,false,dedicated,17,Customizable
97,03/08/2022,false,Cross-platform,15,neural-net
98,17/03/2022,false,full-range,69,uniform
99,18/12/2022,false,support,25,dynamic
100,30/06/2022,false,Exclusive,82,user-facing
101,14/09/2022,false,hybrid,31,well-modulated
102,05/11/2022,false,Universal,36,policy
103,08/12/2022,true,Enhanced,81,leading edge
104,27/12/2022,true,Focused,38,maximized
105,21/02/2022,false,Ergonomic,33,Business-focused
106,17/11/2022,false,initiative,39,Versatile
107,22/04/2022,true,Automated,66,dedicated
108,18/02/2023,true,emulation,29,homogeneous
109,08/06/2022,true,framework,7,internet solution
110,09/12/2022,true,groupware,95,bottom-line
111,22/05/2022,false,Quality-focused,37,Object-based
112,16/01/2023,true,local,26,scalable
113,27/12/2022,true,radical,20,Function-based
114,25/04/2022,true,fault-tolerant,14,high-level
115,23/05/2022,false,forecast,21,Upgradable
116,11/05/2022,true,Organized,35,solution
117,25/11/2022,false,function,73,access
118,25/08/2022,true,tertiary,61,strategy
119,28/01/2023,false,open system,96,Cross-platform
120,22/07/2022,true,Synergistic,28,fault-tolerant
121,22/10/2022,false,systemic,7,collaboration
122,15/10/2022,true,product,24,mobile
123,28/09/2022,true,discrete,12,focus group
124,28/11/2022,true,time-frame,45,knowledge base
125,03/02/2023,false,executive,62,multi-tasking
126,07/08/2022,true,encoding,80,Mandatory
127,27/04/2022,true,policy,88,interactive
128,20/05/2022,true,Digitized,90,Vision-oriented
129,02/02/2023,true,Multi-lateral,3,Future-proofed
130,30/10/2022,false,client-server,42,secured line
131,16/12/2022,false,real-time,42,demand-driven
132,21/04/2022,false,strategy,27,Profound
133,09/10/2022,true,multimedia,4,Re-contextualized
134,30/12/2022,false,Front-line,85,24 hour
135,23/04/2022,false,composite,48,intermediate
136,12/02/2023,false,archive,71,value-added
137,24/10/2022,true,Proactive,23,systemic
138,23/10/2022,false,reciprocal,57,homogeneous
139,29/11/2022,true,6th generation,11,Vision-oriented
140,10/03/2022,true,3rd generation,89,asynchronous
141,16/02/2023,true,24 hour,78,open architecture
142,11/08/2022,true,fault-tolerant,2,local
143,20/08/2022,false,scalable,18,even-keeled
144,28/11/2022,false,cohesive,46,grid-enabled
145,24/04/2022,false,user-facing,71,Progressive
146,28/06/2022,false,Distributed,79,Managed
147,15/03/2022,true,firmware,81,Reactive
148,02/01/2023,true,methodical,83,bifurcated
149,13/01/2023,false,functionalities,12,Visionary
150,02/10/2022,false,Customer-focused,24,mobile
151,19/02/2022,false,Seamless,82,benchmark
152,07/03/2022,true,contingency,40,algorithm
153,17/12/2022,false,24 hour,55,website
154,10/09/2022,true,fault-tolerant,27,intranet
155,06/10/2022,false,matrix,44,info-mediaries
156,09/10/2022,true,asynchronous,7,3rd generation
157,07/05/2022,false,hierarchy,72,utilisation
158,17/06/2022,true,leverage,77,multimedia
159,10/01/2023,true,optimal,94,Fundamental
160,01/03/2022,true,grid-enabled,39,local area network
161,07/08/2022,true,attitude-oriented,72,projection
162,06/03/2022,false,intangible,61,multi-tasking
163,14/08/2022,false,groupware,48,hardware
164,29/09/2022,false,Polarised,38,bottom-line
165,12/05/2022,false,heuristic,99,Profit-focused
166,19/11/2022,false,Polarised,84,concept
167,07/02/2023,false,initiative,6,hierarchy
168,20/03/2022,false,24 hour,24,24 hour
169,16/05/2022,false,Fully-configurable,65,User-friendly
170,15/02/2023,true,budgetary management,94,Persistent
171,12/08/2022,true,tangible,76,encryption
172,30/07/2022,true,structure,55,Multi-layered
173,07/03/2022,true,Digitized,3,secured line
174,17/04/2022,false,didactic,56,stable
175,09/08/2022,false,Customizable,13,website
176,07/09/2022,false,Streamlined,13,fresh-thinking
177,12/01/2023,true,local,26,moratorium
178,12/12/2022,false,Synchronised,78,Profound
179,27/10/2022,true,Multi-layered,89,archive
180,12/09/2022,true,core,47,Ergonomic
181,19/08/2022,true,6th generation,35,pricing structure
182,13/10/2022,true,5th generation,32,framework
183,04/12/2022,false,intermediate,44,solution
184,12/08/2022,false,toolset,93,hybrid
185,16/04/2022,true,client-driven,70,Enhanced
186,10/02/2023,false,optimal,98,Mandatory
187,17/07/2022,true,heuristic,60,Organic
188,16/03/2022,false,mobile,95,heuristic
189,25/04/2022,false,optimal,83,open architecture
190,04/09/2022,false,conglomeration,61,process improvement
191,30/04/2022,true,interactive,81,pricing structure
192,01/10/2022,false,task-force,56,middleware
193,10/06/2022,false,Virtual,51,core
194,04/10/2022,false,toolset,40,secondary
195,09/12/2022,true,Public-key,42,moderator
196,05/12/2022,false,analyzing,94,Customizable
197,05/08/2022,true,array,11,Function-based
198,06/10/2022,true,Reduced,19,internet solution
199,05/01/2023,true,standardization,43,Self-enabling
200,22/06/2022,false,Advanced,29,non-volatile
201,10/12/2022,true,Synchronised,78,Cloned
202,16/11/2022,false,standardization,85,Function-based
203,18/10/2022,false,database,43,challenge
204,25/01/2023,true,service-desk,77,homogeneous
205,27/08/2022,true,process improvement,44,alliance
206,22/06/2022,true,human-resource,43,24/7
207,14/12/2022,true,system engine,58,Grass-roots
208,10/09/2022,false,time-frame,16,Implemented
209,22/04/2022,false,zero administration,40,composite
210,09/06/2022,true,intermediate,86,5th generation
211,01/09/2022,false,infrastructure,80,migration
212,29/12/2022,false,methodology,52,attitude-oriented
213,18/12/2022,true,Enterprise-wide,31,Streamlined
214,17/10/2022,true,focus group,39,help-desk
215,17/10/2022,false,definition,24,service-desk
216,10/01/2023,true,Profound,64,pricing structure
217,12/02/2023,false,database,42,impactful
218,28/08/2022,false,24/7,20,challenge
219,16/04/2022,false,Inverse,21,impactful
220,10/01/2023,true,human-resource,83,support
221,10/10/2022,true,Grass-roots,77,multimedia
222,13/02/2023,false,toolset,40,hierarchy
223,02/03/2022,true,Inverse,73,budgetary management
224,21/07/2022,false,Sharable,25,regional
225,08/06/2022,true,attitude-oriented,40,static
226,12/04/2022,true,content-based,64,bifurcated
227,25/01/2023,true,analyzer,69,challenge
228,20/10/2022,true,Open-architected,7,info-mediaries
229,05/09/2022,false,neutral,37,client-driven
230,16/03/2022,true,website,47,help-desk
231,13/05/2022,false,conglomeration,1,User-friendly
232,09/04/2022,true,Customer-focused,23,database
233,13/05/2022,false,Reactive,39,Reactive
234,19/07/2022,true,Pre-emptive,99,throughput
235,26/02/2022,true,Mandatory,77,Cross-platform
236,06/01/2023,false,algorithm,80,intermediate
237,02/01/2023,true,attitude,54,Front-line
238,24/10/2022,true,Synergized,7,multimedia
239,12/11/2022,true,non-volatile,49,contingency
240,08/06/2022,false,orchestration,74,Expanded
241,02/10/2022,false,solution,95,Business-focused
242,12/03/2022,false,incremental,74,complexity
243,26/04/2022,true,optimal,44,Persevering
244,14/05/2022,true,fresh-thinking,4,full-range
245,16/07/2022,true,Public-key,65,approach
246,12/07/2022,true,Cross-group,51,benchmark
247,29/11/2022,true,Synergized,19,Intuitive
248,11/08/2022,true,interactive,99,Decentralized
249,21/07/2022,false,initiative,18,Versatile
250,31/10/2022,false,extranet,36,Seamless
251,11/05/2022,false,software,53,hub
252,16/08/2022,true,model,89,4th generation
253,11/03/2022,false,Pre-emptive,80,empowering
254,07/09/2022,false,Centralized,100,hub
255,23/12/2022,false,adapter,90,bi-directional
256,20/10/2022,true,Networked,52,incremental
257,16/07/2022,false,Multi-lateral,25,pricing structure
258,15/04/2022,false,Innovative,1,attitude
259,04/08/2022,false,composite,82,Fundamental
260,22/02/2022,false,analyzing,68,Exclusive
261,29/11/2022,false,coherent,2,modular
262,31/08/2022,true,contextually-based,62,24 hour
263,14/10/2022,false,productivity,51,Polarised
264,04/07/2022,true,Monitored,45,Vision-oriented
265,27/02/2022,false,artificial intelligence,91,frame
266,16/10/2022,false,logistical,9,didactic
267,03/04/2022,false,interface,21,multimedia
268,27/09/2022,true,Sharable,73,clear-thinking
269,09/04/2022,false,benchmark,56,Balanced
270,28/03/2022,false,website,11,superstructure
271,13/07/2022,true,data-warehouse,4,protocol
272,07/01/2023,false,6th generation,99,client-driven
273,22/04/2022,false,Persistent,9,Synchronised
274,12/07/2022,false,artificial intelligence,11,composite
275,09/07/2022,false,Devolved,50,Configurable
276,03/08/2022,false,bandwidth-monitored,56,tangible
277,06/10/2022,true,interface,62,discrete
278,30/09/2022,true,Persistent,70,emulation
279,19/10/2022,false,24 hour,46,forecast
280,30/07/2022,false,Horizontal,41,monitoring
281,28/06/2022,false,info-mediaries,85,Distributed
282,17/10/2022,false,open system,31,Total
283,15/11/2022,false,algorithm,70,discrete
284,21/12/2022,true,model,51,well-modulated
285,16/07/2022,false,Public-key,24,interactive
286,13/10/2022,false,solution-oriented,51,impactful
287,27/12/2022,false,Phased,47,Triple-buffered
288,24/05/2022,true,approach,17,solution
289,03/09/2022,true,attitude-oriented,55,Front-line
290,10/05/2022,true,framework,14,Team-oriented
291,30/11/2022,false,Integrated,33,Expanded
292,11/06/2022,false,Progressive,91,system-worthy
293,07/08/2022,true,tertiary,16,clear-thinking
294,30/12/2022,true,middleware,58,stable
295,23/10/2022,false,Centralized,60,migration
296,19/02/2022,true,Function-based,15,Open-architected
297,12/11/2022,false,discrete,36,middleware
298,15/09/2022,true,human-resource,5,challenge
299,20/12/2022,true,policy,89,Proactive
300,17/05/2022,false,Grass-roots,14,hybrid
301,18/05/2022,true,uniform,53,background
302,09/05/2022,true,Multi-channelled,77,reciprocal
303,26/02/2022,true,24/7,32,Phased
304,07/09/2022,false,Open-architected,35,heuristic
305,23/10/2022,false,explicit,81,zero defect
306,14/07/2022,false,emulation,80,architecture
307,14/01/2023,true,concept,32,Robust
308,15/12/2022,false,Seamless,63,matrix
309,12/09/2022,false,infrastructure,56,database
310,03/11/2022,false,info-mediaries,37,regional
311,01/02/2023,false,multi-state,52,content-based
312,15/10/2022,false,Secured,29,intangible
313,25/01/2023,true,data-warehouse,18,Open-source
314,14/10/2022,false,background,32,database
315,21/10/2022,true,global,92,knowledge base
316,14/11/2022,true,mobile,1,Quality-focused
317,30/11/2022,false,strategy,39,mobile
318,09/04/2022,true,knowledge user,9,even-keeled
319,30/04/2022,false,Multi-lateral,31,hybrid
320,17/07/2022,true,conglomeration,90,budgetary management
321,18/03/2022,false,analyzing,71,success
322,02/10/2022,false,Face to face,18,client-driven
323,09/05/2022,true,bottom-line,91,throughput
324,30/11/2022,false,Cloned,68,Versatile
325,26/05/2022,true,frame,20,Upgradable
326,28/01/2023,true,Re-contextualized,75,Operative
327,13/09/2022,true,encoding,31,contingency
328,01/12/2022,true,clear-thinking,95,Quality-focused
329,14/02/2023,false,archive,40,Focused
330,27/11/2022,false,intangible,43,6th generation
331,12/01/2023,false,neural-net,10,migration
332,10/06/2022,false,asymmetric,63,interactive
333,31/10/2022,false,clear-thinking,78,matrices
334,16/07/2022,false,architecture,2,instruction set
335,11/06/2022,true,solution-oriented,33,exuding
336,06/09/2022,false,adapter,33,adapter
337,21/12/2022,true,toolset,40,regional
338,23/08/2022,true,application,32,infrastructure
339,05/12/2022,true,task-force,75,executive
340,16/05/2022,false,value-added,49,collaboration
341,21/08/2022,false,extranet,70,Progressive
342,08/08/2022,false,Function-based,57,database
343,03/06/2022,true,middleware,10,holistic
344,29/04/2022,true,interface,81,function
345,17/11/2022,false,intangible,63,Object-based
346,08/10/2022,false,instruction set,1,Phased
347,09/11/2022,true,motivating,67,Secured
348,21/09/2022,false,Vision-oriented,66,archive
349,04/04/2022,true,discrete,78,info-mediaries
350,26/11/2022,false,attitude,34,model
351,24/03/2022,false,Customer-focused,46,leverage
352,24/01/2023,false,toolset,58,next generation
353,12/01/2023,false,directional,10,Reduced
354,11/05/2022,false,Self-enabling,38,implementation
355,27/10/2022,true,impactful,80,protocol
356,02/06/2022,true,encoding,47,local
357,14/03/2022,true,zero tolerance,1,secondary
358,22/12/2022,false,challenge,46,regional
359,30/07/2022,true,neural-net,7,functionalities
360,16/01/2023,true,groupware,14,protocol
361,19/08/2022,true,extranet,46,workforce
362,23/10/2022,false,Assimilated,80,hub
363,06/04/2022,false,optimizing,49,function
364,12/10/2022,true,context-sensitive,45,Face to face
365,22/01/2023,false,monitoring,99,encompassing
366,29/04/2022,false,Intuitive,31,background
367,28/08/2022,false,disintermediate,5,Triple-buffered
368,22/11/2022,true,Synergistic,5,Object-based
369,28/03/2022,false,composite,49,system engine
370,06/07/2022,true,Fully-configurable,32,info-mediaries
371,28/09/2022,true,Multi-layered,10,dynamic
372,23/05/2022,false,high-level,79,Team-oriented
373,17/10/2022,true,composite,23,website
374,24/11/2022,false,Diverse,73,Synergistic
375,20/01/2023,false,flexibility,22,neural-net
376,03/12/2022,true,website,24,Implemented
377,16/10/2022,false,Reactive,49,24/7
378,24/03/2022,true,Re-engineered,20,zero tolerance
379,04/03/2022,false,alliance,67,Open-source
380,26/10/2022,true,Optional,23,Digitized
381,05/01/2023,false,capacity,1,Re-engineered
382,12/03/2022,true,Synergistic,49,Cross-platform
383,29/09/2022,true,Digitized,93,incremental
384,10/11/2022,true,analyzing,16,strategy
385,28/06/2022,false,protocol,35,attitude-oriented
386,18/12/2022,true,Distributed,76,Advanced
387,09/06/2022,false,Synergistic,9,adapter
388,16/05/2022,false,core,86,Progressive
389,22/03/2022,true,Multi-tiered,55,Assimilated
390,31/01/2023,true,leverage,44,moratorium
391,18/02/2023,false,groupware,56,Switchable
392,29/09/2022,true,project,38,explicit
393,28/05/2022,false,Team-oriented,40,Enterprise-wide
394,13/06/2022,false,bottom-line,61,explicit
395,08/01/2023,true,throughput,77,solution-oriented
396,13/09/2022,false,dynamic,20,Stand-alone
397,26/01/2023,false,success,85,Enterprise-wide
398,03/08/2022,false,hierarchy,95,challenge
399,18/03/2022,true,interface,19,installation
400,25/05/2022,true,Compatible,97,client-server
401,04/07/2022,false,internet solution,60,5th generation
402,19/11/2022,false,service-desk,91,Object-based
403,05/09/2022,false,fault-tolerant,40,knowledge base
404,01/03/2022,true,capability,36,mission-critical
405,21/11/2022,true,Proactive,81,toolset
406,19/08/2022,false,adapter,56,application
407,07/09/2022,false,Switchable,17,local area network
408,01/04/2022,false,Managed,9,Advanced
409,20/03/2022,false,intranet,19,Persevering
410,20/08/2022,false,holistic,94,User-friendly
411,20/03/2022,false,discrete,59,maximized
412,31/10/2022,true,strategy,29,software
413,06/04/2022,true,leverage,19,secured line
414,19/01/2023,true,Multi-channelled,64,Triple-buffered
415,19/05/2022,false,projection,23,data-warehouse
416,02/11/2022,false,model,30,multimedia
417,26/01/2023,true,algorithm,82,transitional
418,29/03/2022,false,help-desk,35,flexibility
419,17/11/2022,true,Object-based,8,solution
420,26/02/2022,false,toolset,3,benchmark
421,14/03/2022,false,access,67,Self-enabling
422,26/02/2022,false,process improvement,75,real-time
423,25/03/2022,true,matrix,68,application
424,11/11/2022,false,hub,21,Polarised
425,29/05/2022,false,radical,83,circuit
426,03/04/2022,true,24/7,48,function
427,25/03/2022,false,Upgradable,23,adapter
428,06/06/2022,true,Self-enabling,33,Programmable
429,30/07/2022,true,bottom-line,57,strategy
430,30/04/2022,false,leading edge,26,Monitored
431,29/10/2022,false,Future-proofed,61,client-server
432,04/02/2023,false,non-volatile,32,web-enabled
433,23/08/2022,false,architecture,83,complexity
434,13/06/2022,false,modular,61,exuding
435,01/09/2022,true,De-engineered,50,demand-driven
436,27/03/2022,false,empowering,95,mobile
437,18/07/2022,true,instruction set,51,full-range
438,28/01/2023,true,dedicated,70,encryption
439,20/06/2022,false,Stand-alone,70,Grass-roots
440,02/09/2022,true,project,58,Enhanced
441,19/01/2023,true,Polarised,44,full-range
442,05/07/2022,true,leading edge,13,Front-line
443,09/04/2022,false,foreground,45,project
444,08/01/2023,false,leverage,2,hub
445,13/02/2023,true,challenge,51,Self-enabling
446,19/12/2022,false,definition,30,4th generation
447,28/01/2023,false,Expanded,49,internet solution
448,03/05/2022,false,Proactive,65,Quality-focused
449,23/03/2022,false,Self-enabling,9,challenge
450,12/04/2022,true,success,83,static
451,18/03/2022,false,De-engineered,90,Reverse-engineered
452,05/07/2022,false,high-level,89,Advanced
453,15/12/2022,false,intangible,91,core
454,14/02/2023,true,modular,5,Expanded
455,15/02/2023,true,Stand-alone,69,framework
456,06/10/2022,true,transitional,81,paradigm
457,23/05/2022,false,fresh-thinking,15,Triple-buffered
458,30/10/2022,false,user-facing,46,radical
459,16/11/2022,false,multi-state,76,Configurable
460,30/04/2022,false,Grass-roots,12,Configurable
461,24/08/2022,true,Customer-focused,100,Compatible
462,23/02/2022,true,infrastructure,58,Grass-roots
463,08/08/2022,false,hybrid,87,portal
464,10/04/2022,true,4th generation,40,transitional
465,23/10/2022,false,Exclusive,68,Synergistic
466,08/12/2022,false,Integrated,22,5th generation
467,24/10/2022,true,Innovative,17,Configurable
468,07/05/2022,true,Cloned,7,regional
469,11/07/2022,false,user-facing,23,attitude
470,20/08/2022,false,Graphical User Interface,91,logistical
471,09/04/2022,false,static,93,installation
472,21/08/2022,false,migration,97,heuristic
473,30/06/2022,true,composite,47,Business-focused
474,06/09/2022,true,artificial intelligence,73,actuating
475,05/08/2022,true,Automated,50,Compatible
476,02/06/2022,true,leverage,39,Operative
477,31/01/2023,true,frame,21,needs-based
478,24/08/2022,false,interactive,29,emulation
479,21/10/2022,true,composite,13,analyzer
480,10/06/2022,true,Inverse,67,impactful
481,29/04/2022,true,foreground,3,website
482,11/05/2022,false,Networked,90,functionalities
483,27/02/2022,false,encoding,16,non-volatile
484,07/06/2022,false,attitude-oriented,23,local area network
485,01/07/2022,true,mission-critical,70,User-friendly
486,03/12/2022,true,responsive,61,even-keeled
487,03/01/2023,false,Programmable,52,leverage
488,08/06/2022,false,De-engineered,55,Implemented
489,03/09/2022,true,model,7,customer loyalty
490,15/01/2023,true,needs-based,43,4th generation
491,24/11/2022,true,Progressive,72,Optimized
492,02/06/2022,false,groupware,51,encoding
493,14/02/2023,true,firmware,86,portal
494,09/10/2022,false,Extended,38,orchestration
495,02/04/2022,true,hub,44,process improvement
496,17/03/2022,false,Open-architected,65,Synergized
497,19/11/2022,false,hub,57,Seamless
498,28/07/2022,true,24 hour,87,access
499,19/07/2022,true,conglomeration,3,Object-based
500,03/11/2022,true,Open-source,54,interactive
501,15/04/2022,true,human-resource,87,Visionary
502,29/01/2023,true,adapter,51,incremental
